BridgeProcessName,BridgeProcessDescription,BridgeProcessIntendedApplication,BridgeProcessDatasetOwner,BridgeProcessDataDocumentor,InputName,InputUnit,InputAmount,OutputName,OutputUnit,OutputAmount
Bridge_CDD_to_ElectricityLCI,This process links an input in a CDD process to a provider from the electricity LCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Electricity, AC, 120 V",MJ,1,Electricity; at industrial user,MJ,1
Bridge_FuelComb_to_EquipOp_diesel4strokeskidsteerloader_25 < hp < = 40,This process links an input in a CDD process to a provider from the Heavy Equipment Operation repository on the Federal LCA Commons.,NA,US EPA,US EPA,Diesel equipment operation; industry average; > 19 kW and < 56 kW,MJ,45,Fuel combustion; 4-stroke skid steer loaders; 25 < hp <= 40,kg,1
Bridge_FuelComb_to_EquipOp_dieselbackhoes_100 < hp < = 175,This process links an input in a CDD process to a provider from the Heavy Equipment Operation repository on the Federal LCA Commons.,NA,US EPA,US EPA,Diesel equipment operation; industry average; > 56 kW and < 560 kW,MJ,45,Fuel combustion; diesel tractors/loaders/backhoes; 100 < hp <= 175,kg,1
Bridge_FuelComb_to_EquipOp_dieselbackhoes_175 < hp < = 300,This process links an input in a CDD process to a provider from the Heavy Equipment Operation repository on the Federal LCA Commons.,NA,US EPA,US EPA,Diesel equipment operation; industry average; > 56 kW and < 560 kW,MJ,45,Fuel combustion; diesel tractors/loaders/backhoes; 175 < hp <= 300,kg,1
Bridge_FuelComb_to_EquipOp_dieselcrushequip_300 < hp < = 600,This process links an input in a CDD process to a provider from the Heavy Equipment Operation repository on the Federal LCA Commons.,NA,US EPA,US EPA,Diesel equipment operation; industry average; > 56 kW and < 560 kW,MJ,45,Fuel combustion; diesel crushing/proc. equipment; 300 < hp <= 600,kg,1
Bridge_FuelComb_to_EquipOp_dieselcrushequip_600 < hp < = 750,This process links an input in a CDD process to a provider from the Heavy Equipment Operation repository on the Federal LCA Commons.,NA,US EPA,US EPA,Diesel equipment operation; industry average; > 56 kW and < 560 kW,MJ,45,Fuel combustion; diesel crushing/proc. equipment; 600 < hp <= 750,kg,1
Bridge_FuelComb_to_EquipOp_dieselexcavator_100 < hp < = 175,This process links an input in a CDD process to a provider from the Heavy Equipment Operation repository on the Federal LCA Commons.,NA,US EPA,US EPA,Diesel equipment operation; industry average; > 56 kW and < 560 kW,MJ,45,Fuel combustion; diesel excavators; 100 < hp <= 175,kg,1
Bridge_FuelComb_to_EquipOp_dieselexcavator_175 < hp < = 300,This process links an input in a CDD process to a provider from the Heavy Equipment Operation repository on the Federal LCA Commons.,NA,US EPA,US EPA,Diesel equipment operation; industry average; > 56 kW and < 560 kW,MJ,45,Fuel combustion; diesel excavators; 175 < hp <= 300,kg,1
Bridge_FuelComb_to_EquipOp_dieselexcavator_75 < hp < = 100,This process links an input in a CDD process to a provider from the Heavy Equipment Operation repository on the Federal LCA Commons.,NA,US EPA,US EPA,Diesel equipment operation; industry average; > 56 kW and < 560 kW,MJ,45,Fuel combustion; diesel excavators; 75 < hp <= 100,kg,1
Bridge_FuelComb_to_EquipOp_dieselgraders_175 < hp < = 300,This process links an input in a CDD process to a provider from the Heavy Equipment Operation repository on the Federal LCA Commons.,NA,US EPA,US EPA,Diesel equipment operation; industry average; > 56 kW and < 560 kW,MJ,45,Fuel combustion; diesel graders; 175 < hp <= 300,kg,1
