BridgeProcessName,BridgeProcessDescription,BridgeProcessIntendedApplication,BridgeProcessDatasetOwner,BridgeProcessDataDocumentor,InputName,InputUnit,InputAmount,OutputName,OutputUnit,OutputAmount
Bridge_CDD_to_ElectricityLCI,This process links an input in a CDD process to a provider from electricity LCI,NA,USEPA,Wesley Ingwersen,"Electricity, AC, 120 V",MJ,1,"Electricity, at industrial user",MJ,1
Bridge_CDD_to_USEEIO_Diesel_otherconstrequipment_175 < hp <= 300,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,353000,Diesel other construction equipment; 175 < hp <= 300,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_otherconstrequipment_300 < hp <= 600,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,713000,Diesel other construction equipment; 300 < hp <= 600,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_rubbertireloaders_175 < hp <= 300,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,340000,Diesel rubber tire loaders; 175 < hp <= 300,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_skidsteerloaders_75 < hp <= 100,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,79000,Diesel skidsteer loaders; 75 < hp <= 100,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_crushing/proc.equipment_300 < hp <= 600,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,225000,Diesel crushing/proc. equipment; 300 < hp <= 600,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_excavators_175 < hp <= 300,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,320000,Diesel excavators; 175 < hp <= 300,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_scrapers_300 < hp <= 600,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,610000,Diesel scrapers; 300 < hp <= 600,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_otherconstrequipment_100 < hp <= 175,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,229000,Diesel other construction equipment; 100 < hp <= 175,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_tractors/loaders/backhoes_175 < hp <= 300,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,375000,Diesel tractors/loaders/backhoes; 175 < hp <= 300,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_rollers_100 < hp <= 175,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,178000,Diesel rollers; 100 < hp <= 175,Item(s),1
